,IMO_Number,DWT
355,9048914,850
356,9050618,9710
357,9050814,4900
358,9050826,6325
359,9051478,42288
360,9051492,42413
361,9051791,10086
362,9053658,10520
363,9053919,6541
364,9055709,10545
365,9056583,6791
366,9056595,6722
367,9057123,16700
368,9057173,22450
369,9058995,3318
370,9059107,6550
371,9059602,14160
372,9059614,14140
373,9059626,14140
374,9059638,14140
375,9059640,14140
376,9060637,43436
377,9060649,43618
378,9062996,30600
379,9064281,9146
380,9064748,41667
381,9064750,41667
382,9064839,11575
383,9065405,3222
384,9065417,3222
385,9067544,9355
386,9070474,13363
387,9070632,5200
388,9072446,7260
389,9072824,7957
390,9073385,8024
391,9073402,8024
392,9074078,47053
393,9075709,21423
394,9075711,21414
395,9077898,70087
396,9077903,70087
397,9079119,50198
398,9079121,50198
399,9080015,2164
400,9081289,12760
401,9081291,12754
402,9081306,12760
403,9081318,12760
404,9081320,12760
405,9081370,12708
406,9081588,4226
407,9081801,50198
408,9081992,8816
409,9082623,26477
410,9083043,8932
411,9083055,8450
412,9084229,21955
413,9084255,18703
414,9084607,20100
415,9085443,8177
416,9085534,84900
417,9085546,84900
418,9085558,84900
419,9085675,21964
420,9085895,16857
421,9085900,16582
422,9086320,26411
423,9086526,29292
424,9086588,5717
425,9087013,37455
426,9087116,7383
427,9087233,43188
428,9087350,11446
429,9087362,11561
430,9087374,11521
431,9087465,6538
432,9087477,6538
433,9087726,3350
434,9088249,12490
435,9088859,5848
436,9100073,50198
437,9100267,7037
438,9101730,18886
439,9102069,36876
440,9102071,37090
441,9102083,37205
442,9102095,37271
443,9102100,36905
444,9102112,36902
445,9102124,37042
446,9102710,41583
447,9102722,41583
448,9102746,41590
449,9103013,7444
450,9103128,46428
451,9103362,8972
452,9103374,8973
453,9103398,6017
454,9103685,60200
455,9104263,4910
456,9104811,21583
457,9104835,3538
458,9105035,55770
459,9105970,22900
460,9106297,6500
461,9106467,9200
462,9106479,13623
463,9106493,13623
464,9106974,11307
465,9106986,11366
466,9107306,48041
467,9107318,48077
468,9107681,64214
469,9107772,1104
470,9107784,1171
471,9107796,1150
472,9107899,38852
473,9108063,7946
474,9108128,34330
475,9108130,34330
476,9108350,7254
477,9108398,18423
478,9108556,11164
479,9108568,11000
480,9108740,9494
481,9109536,18172
482,9109548,18319
483,9109768,5125
484,9109964,28429
485,9110016,1001
486,9110315,27327
487,9110339,27209
488,9110377,68363
489,9110389,68363
490,9110391,68363
491,9110901,34168
492,9110913,34167
493,9111357,27321
494,9112296,33659
495,9112351,30046
496,9112466,4253
497,9112765,4030
498,9112777,4030
499,9113018,13367
500,9113446,18335
501,9113719,4550
502,9113850,28754
503,9114232,37479
504,9114347,8973
505,9114476,24173
506,9116084,8258
507,9116319,27917
508,9116369,35966
509,9116515,16325
510,9117416,18305
511,9117739,56816
512,9117985,5215
513,9118496,9494
514,9119414,5803
515,9120205,5970
516,9120243,9584
517,9120384,4577
518,9121273,48988
519,9121297,47016
520,9121625,5928
521,9121912,17786
522,9121998,7629
523,9122007,6077
524,9122576,75265
525,9122655,28142
526,9122930,21421
527,9122942,21421
528,9122966,21421
529,9123702,23407
530,9123788,8846
531,9123805,8001
532,9124471,37059
533,9125217,26412
534,9125229,26412
535,9125267,10106
536,9125279,10044
537,9125372,9677
538,9125384,9655
539,9125944,6559
540,9126223,6410
541,9126235,6410
542,9126247,6410
543,9126297,19844
544,9126742,19325
545,9126754,19338
546,9126766,19532
547,9126924,12123
548,9127007,14587
549,9127021,14587
550,9127136,64214
551,9127459,19353
552,9127538,18425
553,9127576,411
554,9127928,8500
555,9128049,10332
556,9128051,10324
557,9128063,10316
558,9128142,27362
559,9128427,9412
560,9128544,7000
561,9129263,6100
562,9129469,8002
563,9129586,13364
564,9129598,13500
565,9129706,19884
566,9130432,7202
567,9130573,15511
568,9130585,15511
569,9130597,15511
570,9130949,27965
571,9130951,27965
572,9131527,11600
573,9131539,49996
574,9131797,8396
575,9131955,4442
576,9131967,4442
577,9131993,8843
578,9132002,8853
579,9132014,8853
580,9132492,13898
581,9132507,13887
582,9132662,28350
583,9133410,22271
584,9133757,9387
585,9133915,9314
586,9134153,7223
587,9135262,6174
588,9135638,35021
589,9135822,5937
590,9135896,340
591,9136034,7910
592,9136539,26551
593,9136931,23723
594,9136967,3995
595,9137234,6258
596,9137997,7823
597,9138006,8383
598,9138276,33976
599,9138305,34044
600,9138329,1378
601,9138355,7221
602,9138381,18461
603,9138393,18427
604,9138408,10020
605,9138410,23882
606,9138422,23882
607,9138446,24045
608,9138513,28142
609,9138525,28142
610,9138692,24110
611,9138783,12350
612,9139086,22967
613,9139256,71572
614,9139268,71598
615,9139294,15065
616,9139309,12950
617,9139311,12950
618,9139646,12238
619,9141118,8912
620,9141235,24341
621,9141297,62200
622,9141780,29700
623,9141792,30188
624,9141912,12104
625,9142459,5250
626,9142461,5914
627,9142514,9200
628,9142540,9200
629,9142552,9200
630,9142564,9150
631,9142605,5860
632,9143099,10432
633,9143207,37369
634,9143439,11137
635,9143441,7300
636,9143491,1690
637,9143544,67058
638,9143556,66525
639,9143697,43157
640,9143702,18360
641,9143752,9662
642,9143855,7600
643,9143879,9950
644,9143972,7224
645,9144043,46570
646,9144081,1470
647,9144093,1470
648,9144251,7500
649,9144263,7500
650,9144354,47053
651,9144419,2490
652,9144421,2580
653,9144718,12950
654,9144720,12950
655,9144732,7300
656,9144744,7300
657,9144811,5150
658,9145164,7885
659,9145176,10670
660,9145229,21470
661,9145231,21470
662,9145413,32300
663,9145437,33757
664,9145695,49865
665,9145982,45423
666,9146053,10100
667,9146106,10095
668,9146314,30340
669,9146479,110387
670,9146974,28542
671,9147071,63537
672,9147215,12918
673,9147681,9544
674,9147708,9360
675,9147710,9359
676,9147734,9554
677,9147746,9554
678,9147863,7579
679,9147875,7580
680,9148582,9978
681,9149328,33977
682,9149495,22198
683,9149512,22198
684,9149524,22273
685,9149677,29501
686,9149732,23923
687,9149885,23011
688,9149897,23026
689,9150030,2864
690,9150080,7900
691,9150315,36677
692,9150327,10127
693,9150339,14353
694,9150341,14348
695,9150420,6700
696,9150614,16376
697,9150743,20412
698,9151008,350
699,9151101,7223
700,9151113,10837
701,9151383,18315
702,9151515,21146
703,9151539,2565
704,9151541,2881
705,9152181,9609
706,9152820,12008
707,9152923,22330
708,9153020,11089
709,9153032,11089
710,9153056,71663
711,9153214,12924
712,9153642,6993
713,9153654,7051
714,9153850,88669
715,9153862,94769
716,9154268,17064
717,9154282,17033
718,9155107,40100
719,9155767,47363
720,9155925,9067
721,9156539,15200
722,9157284,11089
723,9157478,23292
724,9157868,6770
725,9158070,8302
726,9158082,8300
727,9158159,41327
728,9158240,7553
729,9158276,22815
730,9158458,27174
731,9158604,21505
732,9158616,25765
733,9159103,10338
734,9159115,10334
735,9159737,28747
736,9160310,8058
737,9160334,8664
738,9160346,9567
739,9160475,6095
740,9160487,4717
741,9160619,130031
742,9160724,12912
743,9160736,12913
744,9160774,6165
745,9160798,46990
746,9160920,11115
747,9161297,42960
748,9161869,9994
749,9161883,10094
750,9161948,5150
751,9162227,94769
752,9162411,25012
753,9162631,14150
754,9162643,14150
755,9162667,13059
756,9162681,7073
757,9163192,29233
758,9163403,5937
759,9163685,8865
760,9163697,8867
761,9164237,17526
762,9164756,16024
